x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-937.5997E-06,-8.6557753E-03,-3.9572844E-03,-147.6733945E-03,+29.8932120E-03
-937.4497E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-937.2997E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-937.1497E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-936.9996E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-936.8496E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-936.6996E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-936.5496E-06,-8.6557753E-03,+1.5703538E-03,-147.6733945E-03,+29.8932120E-03
-936.3996E-06,-8.6557753E-03,-3.9572844E-03,-180.3367108E-03,+29.8932120E-03
-936.2496E-06,-8.6557753E-03,-5.4648221E-03,-152.6985201E-03,+29.8932120E-03
-936.0996E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-935.9496E-06,-8.6557753E-03,+1.5703538E-03,-147.6733945E-03,+29.8932120E-03
-935.7996E-06,-8.6557753E-03,-3.9572844E-03,-147.6733945E-03,+28.1344181E-03
-935.6496E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.5163276E-03
-935.4996E-06,-15.6909511E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-935.3496E-06,-10.1633130E-03,-5.4648221E-03,-147.6733945E-03,+28.1344181E-03
-935.1996E-06,-8.6557753E-03,+1.5703538E-03,-147.6733945E-03,+29.5163276E-03
-935.0496E-06,-8.6557753E-03,-3.9572844E-03,-180.3367108E-03,+29.8932120E-03
-934.8996E-06,-8.6557753E-03,-5.4648221E-03,-152.6985201E-03,+29.8932120E-03
-934.7496E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+28.1344181E-03
-934.5996E-06,-8.6557753E-03,-5.4648221E-03,-180.3367108E-03,+29.5163276E-03
-934.4496E-06,-8.6557753E-03,-5.4648221E-03,-152.6985201E-03,+29.8932120E-03
-934.2996E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-934.1496E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+28.1344181E-03
-933.9996E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.5163276E-03
-933.8496E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-933.6996E-06,-8.6557753E-03,+1.5703538E-03,-147.6733945E-03,+28.1344181E-03
-933.5496E-06,-8.6557753E-03,-3.9572844E-03,-147.6733945E-03,+29.5163276E-03
-933.3996E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-933.2496E-06,-8.6557753E-03,+1.5703538E-03,-147.6733945E-03,+29.8932120E-03
-933.0996E-06,-8.6557753E-03,-3.9572844E-03,-112.4975155E-03,+29.8932120E-03
-932.9496E-06,-8.6557753E-03,+1.5703538E-03,-140.1357062E-03,+29.8932120E-03
-932.7996E-06,-8.6557753E-03,-3.9572844E-03,-147.6733945E-03,+28.1344181E-03
-932.6496E-06,-8.6557753E-03,+1.5703538E-03,-147.6733945E-03,+29.5163276E-03
-932.4996E-06,-8.6557753E-03,-3.9572844E-03,-180.3367108E-03,+29.8932120E-03
-932.3496E-06,-8.6557753E-03,-5.4648221E-03,-152.6985201E-03,+28.1344181E-03
-932.1996E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.5163276E-03
-932.0496E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-931.8996E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-931.7496E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-931.5996E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+28.1344181E-03
-931.4496E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+27.8831618E-03
-931.2996E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+27.8831618E-03
-931.1496E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.5163276E-03
-930.9996E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+28.1344181E-03
-930.8496E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.5163276E-03
-930.6996E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-930.5496E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-930.3996E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+28.1344181E-03
-930.2496E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.5163276E-03
-930.0996E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-929.9496E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+28.1344181E-03
-929.7996E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.5163276E-03
-929.6496E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+28.1344181E-03
-929.4996E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+27.8831618E-03
-929.3496E-06,-8.6557753E-03,+1.5703538E-03,-147.6733945E-03,+29.5163276E-03
-929.1996E-06,-8.6557753E-03,-3.9572844E-03,-147.6733945E-03,+29.8932120E-03
-929.0496E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+28.1344181E-03
-928.8996E-06,-8.6557753E-03,+1.5703538E-03,-147.6733945E-03,+29.5163276E-03
-928.7496E-06,-8.6557753E-03,-3.9572844E-03,-147.6733945E-03,+29.8932120E-03
-928.5996E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-928.4496E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+28.1344181E-03
-928.2996E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.5163276E-03
-928.1496E-06,-8.6557753E-03,+1.5703538E-03,-147.6733945E-03,+28.1344181E-03
-927.9996E-06,-8.6557753E-03,-3.9572844E-03,-147.6733945E-03,+29.5163276E-03
-927.8496E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-927.6995E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-927.5495E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-927.3995E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-927.2495E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
