angle_deg,angle_folder,mass_g,pretension_N,file,file_path,velocity_mps,peak_accel_mps2,dt_s
90.0,90 deg soliton data,200.0,1.9620000000000002,200g_20260429-174950.h5,90 deg soliton data\200g_20260429-174950.h5,92.61413201512066,1039.9064792550023,2e-07
90.0,90 deg soliton data,200.0,1.9620000000000002,200g_20260429-174953.h5,90 deg soliton data\200g_20260429-174953.h5,92.64780743218674,1021.2317039903406,2e-07
90.0,90 deg soliton data,200.0,1.9620000000000002,200g_20260429-174956.h5,90 deg soliton data\200g_20260429-174956.h5,92.95877417001094,1088.991546883588,2e-07
90.0,90 deg soliton data,200.0,1.9620000000000002,200g_20260429-174959.h5,90 deg soliton data\200g_20260429-174959.h5,94.34241706161137,975.0936945394128,2e-07
90.0,90 deg soliton data,200.0,1.9620000000000002,200g_20260429-175003.h5,90 deg soliton data\200g_20260429-175003.h5,93.47028613352899,1067.352657881818,2e-07
90.0,90 deg soliton data,60.0,0.5886,60g_20260429-174031.h5,90 deg soliton data\60g_20260429-174031.h5,89.85118837717751,1259.1070168512192,2e-07
90.0,90 deg soliton data,60.0,0.5886,60g_20260429-174035.h5,90 deg soliton data\60g_20260429-174035.h5,94.17504435245417,1124.4336029799183,2e-07
90.0,90 deg soliton data,60.0,0.5886,60g_20260429-174039.h5,90 deg soliton data\60g_20260429-174039.h5,90.7601339317518,1169.485836089433,2e-07
90.0,90 deg soliton data,60.0,0.5886,60g_20260429-174042.h5,90 deg soliton data\60g_20260429-174042.h5,90.77306733167082,1322.4741861215841,2e-07
90.0,90 deg soliton data,60.0,0.5886,60g_20260429-174047.h5,90 deg soliton data\60g_20260429-174047.h5,92.05202312138726,1092.916465655979,2e-07
90.0,90 deg soliton data,60.0,0.5886,60g_20260429-174052.h5,90 deg soliton data\60g_20260429-174052.h5,89.14701560422643,1061.4481891645785,2e-07
90.0,90 deg soliton data,60.0,0.5886,60g_20260429-174055.h5,90 deg soliton data\60g_20260429-174055.h5,89.1594933165372,1277.4997283446985,2e-07
90.0,90 deg soliton data,60.0,0.5886,60g_20260429-174059.h5,90 deg soliton data\60g_20260429-174059.h5,89.24693520140104,1092.3148430709393,2e-07
90.0,90 deg soliton data,60.0,0.5886,60g_20260429-174103.h5,90 deg soliton data\60g_20260429-174103.h5,90.57945254177034,1199.9890456448268,2e-07
90.0,90 deg soliton data,60.0,0.5886,60g_20260429-174115.h5,90 deg soliton data\60g_20260429-174115.h5,89.81318293972507,1195.545794985904,2e-07
90.0,90 deg soliton data,80.0,0.7848,80g_20260429-174257.h5,90 deg soliton data\80g_20260429-174257.h5,89.3157599551318,980.0317415797489,2e-07
90.0,90 deg soliton data,80.0,0.7848,80g_20260429-174301.h5,90 deg soliton data\80g_20260429-174301.h5,87.05753724203909,1241.098470841397,2e-07
90.0,90 deg soliton data,80.0,0.7848,80g_20260429-174305.h5,90 deg soliton data\80g_20260429-174305.h5,86.49602824360106,1155.7439218593208,2e-07
90.0,90 deg soliton data,80.0,0.7848,80g_20260429-174309.h5,90 deg soliton data\80g_20260429-174309.h5,87.56615574953605,1202.7259265408368,2e-07
