frequency,-17.7010014E-03_magnitude,-13.5050230E-03_magnitude,-147.6733945E-03_magnitude,+29.8932120E-03_magnitude
200.00080000319514,175.93280480046639,270.5289607856079,1109.408023831723,33.95276593543445
205.000820003275,177.3193626754807,254.7356901677525,1212.747206679188,9.814971888338812
210.00084000335488,150.63147479336988,204.37496576506481,1022.2298737804634,42.60241027157855
215.00086000343478,108.83559168918327,149.96955956453405,726.028541031181,51.26502531290151
220.00088000351465,102.8307117002929,145.94114596087692,816.3550646547176,35.998982906238595
225.00090000359452,134.7671774729473,174.94853332813867,1077.848457783315,10.901750888634673
230.00092000367442,150.49196304685208,185.5655348431283,1093.1718812541055,21.106202183458105
235.0009400037543,139.19451777169772,177.55705393629015,913.6002868742564,35.5275326326932
240.00096000383417,128.40329268213074,179.2720532338773,930.8830468242306,37.66102746596325
245.00098000391404,138.62331676137495,192.8522086749863,1169.4085988043887,28.341596705056023
250.0010000039939,145.23797163254744,192.3867260380149,1249.4274941769797,10.60747641497638
255.0010200040738,129.45742699316796,174.74182504438332,1097.8173970911707,19.19918517493719
260.00104000415365,111.51023014646479,170.52087191631853,1013.5511857563258,39.1032573228222
265.0010600042336,122.7731639128109,191.56820320326193,1194.9017697356367,43.626309929577516
270.00108000431345,140.68695597892128,205.29893290110755,1332.3610219017125,27.07084287473271
275.0011000043933,134.97926081482052,195.45692160616957,1250.0195841978596,9.18795473183001
280.0011200044732,114.4803089078848,187.82795067877188,1166.3809399939294,39.50473430923592
285.00114000455306,116.53974939291378,210.77119730456823,1353.4840183360395,54.65700238096783
290.00116000463294,139.2186174716421,240.5096501088863,1587.3471261039397,43.96395332335137
295.0011800047128,145.52143620503665,246.53350757743516,1606.0804380128595,20.57953449584347
300.00120000479274,126.39287979497638,235.55909100970544,1497.0324263242744,40.45790886887937
305.0012200048726,106.98131935056666,238.71596999907962,1563.3907121932382,62.43164684736135
310.0012400049525,113.54443590542976,260.311515097326,1793.1245391266966,58.14928351130513
315.00126000503235,124.0370813421308,272.54551229622336,1891.9237085453913,34.605351283382376
320.0012800051122,114.10861529329357,266.1992067962993,1798.749687500401,40.3464073324974
325.0013000051921,92.13210595012286,264.34066196416876,1777.174795187693,65.24360110413208
330.00132000527196,87.20194704119321,282.9344129447731,1995.718416880857,67.48896392713988
335.00134000535184,97.3698180733299,297.92547000698966,2184.969633878468,46.648128621682815
340.0013600054317,93.21693809986738,280.5779697009909,2074.3025684367576,40.94983485844837
345.00138000551163,67.68527355666248,231.79344351096677,1701.036919697587,64.46523499947004
350.0014000055915,46.05382255892744,183.41200755048894,1388.4650761899434,72.22161149342509
355.0014200056714,62.368359633546426,168.35476703186592,1361.516966035927,55.13836045130711
360.00144000575125,81.44320640009337,175.89241819428298,1379.0101934061952,40.96241430061085
365.0014600058311,82.0360786466174,187.71004549004482,1322.3705393398764,59.77270605031699
370.001480005911,69.70140274332869,209.5758607120042,1448.7214673902977,71.92534397224642
375.00150000599086,58.559209159181414,235.8365808539265,1775.9793627373538,59.442089560233654
380.0015200060708,51.634563546057095,243.58750787046446,1958.108676880711,39.9676434249473
385.00154000615066,40.5380079110602,226.2401299777544,1861.4384935389446,51.77918362696163
390.00156000623053,30.4809441839094,211.39349496714158,1772.4922318782758,67.41075148354362
