x-axis,1,2,3
second,Volt,Volt,Volt
-607.24000E-06,+1.23429671E-03,+2.77964864E-03,+1.86256279E-03
-607.18500E-06,+1.23429671E-03,+2.77964864E-03,+2.74195976E-03
-607.13000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-607.07500E-06,+1.86243741E-03,+2.77964864E-03,+1.36005023E-03
-607.02000E-06,+2.74183438E-03,+2.77964864E-03,+1.36005023E-03
-606.96500E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-606.91000E-06,+1.23429671E-03,+4.28718631E-03,+1.86256279E-03
-606.85500E-06,+1.23429671E-03,+2.77964864E-03,+3.37010046E-03
-606.80000E-06,+1.23429671E-03,+3.40778934E-03,+2.74195976E-03
-606.74500E-06,+1.23429671E-03,+4.28718631E-03,+1.86256279E-03
-606.69000E-06,+1.23429671E-03,+2.77964864E-03,+2.74195976E-03
-606.63500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-606.58000E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-606.52500E-06,+1.23429671E-03,+4.28718631E-03,+1.36005023E-03
-606.47000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-606.41500E-06,+1.23429671E-03,+3.40778934E-03,+1.86256279E-03
-606.36000E-06,+1.23429671E-03,+4.78969887E-03,+2.74195976E-03
-606.30500E-06,+1.23429671E-03,+4.28718631E-03,+1.36005023E-03
-606.25000E-06,+731.78415E-06,+2.77964864E-03,+1.86256279E-03
-606.19500E-06,-147.61282E-06,+2.77964864E-03,+2.74195976E-03
-606.14000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-606.08500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-606.03000E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-605.97500E-06,+1.23429671E-03,+4.78969887E-03,+1.86256279E-03
-605.92000E-06,+1.23429671E-03,+4.28718631E-03,+3.37010046E-03
-605.86500E-06,+1.23429671E-03,+3.40778934E-03,+3.37010046E-03
-605.81000E-06,+1.23429671E-03,+4.28718631E-03,+2.74195976E-03
-605.75500E-06,+1.86243741E-03,+3.40778934E-03,+1.86256279E-03
-605.70000E-06,+2.74183438E-03,+4.78969887E-03,+3.37010046E-03
-605.64500E-06,+1.23429671E-03,+4.28718631E-03,+2.74195976E-03
-605.59000E-06,+1.23429671E-03,+3.40778934E-03,+1.86256279E-03
-605.53500E-06,+1.23429671E-03,+4.78969887E-03,+2.74195976E-03
-605.48000E-06,+1.23429671E-03,+4.28718631E-03,+1.86256279E-03
-605.42500E-06,+1.23429671E-03,+3.40778934E-03,+2.74195976E-03
-605.37000E-06,+731.78415E-06,+4.78969887E-03,+1.36005023E-03
-605.31500E-06,-147.61282E-06,+4.28718631E-03,+1.36005023E-03
-605.26000E-06,+1.23429671E-03,+2.77964864E-03,+1.86256279E-03
-605.20500E-06,+1.23429671E-03,+3.40778934E-03,+2.74195976E-03
-605.15000E-06,+1.86243741E-03,+4.28718631E-03,+1.36005023E-03
-605.09500E-06,+3.24434694E-03,+3.40778934E-03,+1.36005023E-03
-605.04000E-06,+2.74183438E-03,+4.78969887E-03,+1.86256279E-03
-604.98500E-06,+1.23429671E-03,+4.28718631E-03,+3.37010046E-03
-604.93000E-06,+1.23429671E-03,+2.77964864E-03,+2.74195976E-03
-604.87500E-06,+1.23429671E-03,+2.77964864E-03,+1.86256279E-03
-604.82000E-06,+1.23429671E-03,+2.77964864E-03,+2.74195976E-03
-604.76500E-06,+1.23429671E-03,+2.77964864E-03,+1.86256279E-03
-604.71000E-06,+1.23429671E-03,+3.40778934E-03,+2.74195976E-03
-604.65500E-06,+731.78415E-06,+4.78969887E-03,+1.36005023E-03
-604.60000E-06,-775.75352E-06,+4.28718631E-03,+1.36005023E-03
-604.54500E-06,-147.61282E-06,+2.77964864E-03,+1.36005023E-03
-604.49000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-604.43500E-06,+1.86243741E-03,+2.77964864E-03,+1.36005023E-03
-604.38000E-06,+2.74183438E-03,+2.77964864E-03,+1.36005023E-03
-604.32500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-604.27000E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-604.21500E-06,+1.23429671E-03,+4.28718631E-03,+1.36005023E-03
