x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-1.123800E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.123700E-03,-16.695976E-03,-8.982410E-03,-147.673395E-03,+58.913312E-03
-1.123600E-03,-21.218589E-03,-9.484923E-03,-147.673395E-03,+58.033915E-03
-1.123500E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.123400E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.123300E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.123200E-03,-24.736177E-03,-8.982410E-03,-147.673395E-03,+58.913312E-03
-1.123100E-03,-24.736177E-03,-9.484923E-03,-147.673395E-03,+58.033915E-03
-1.123000E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.122900E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.122800E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.122700E-03,-20.716077E-03,-8.982410E-03,-147.673395E-03,+59.038940E-03
-1.122600E-03,-16.695976E-03,-9.484923E-03,-147.673395E-03,+58.913312E-03
-1.122500E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.122400E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.122300E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.122200E-03,-24.736177E-03,-13.505023E-03,-167.773897E-03,+58.033915E-03
-1.122100E-03,-20.716077E-03,-13.505023E-03,-165.261334E-03,+58.033915E-03
-1.122000E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.121900E-03,-16.695976E-03,-13.505023E-03,-167.773897E-03,+58.913312E-03
-1.121800E-03,-16.695976E-03,-13.505023E-03,-165.261334E-03,+59.038940E-03
-1.121700E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.121600E-03,-21.218589E-03,-8.982410E-03,-147.673395E-03,+59.038940E-03
-1.121500E-03,-20.716077E-03,-9.484923E-03,-147.673395E-03,+58.913312E-03
-1.121400E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.121300E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.121200E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.121100E-03,-21.218589E-03,-8.982410E-03,-147.673395E-03,+58.033915E-03
-1.121000E-03,-20.716077E-03,-9.484923E-03,-147.673395E-03,+59.038940E-03
-1.120900E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.120800E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.120700E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.120600E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.120500E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.120400E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.120300E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.120200E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.120100E-03,-16.695976E-03,-8.982410E-03,-147.673395E-03,+58.913312E-03
-1.120000E-03,-21.218589E-03,-9.484923E-03,-147.673395E-03,+59.038940E-03
-1.119900E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.119800E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.119700E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.119600E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.119500E-03,-16.695976E-03,-8.982410E-03,-147.673395E-03,+58.033915E-03
-1.119400E-03,-21.218589E-03,-9.484923E-03,-147.673395E-03,+58.033915E-03
-1.119300E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.119200E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.119100E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.119000E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
